Dataset,Classifier,Resampling,Distribution,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,knn,cv52,balanced,32,3438,1719,1719,1144,572,572,Description,200,572,0,0,572,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,64,2382,1191,1191,794,397,397,Description,200,397,0,0,397,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,96,1872,936,936,624,312,312,Description,200,312,0,0,312,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,128,1496,748,748,498,249,249,Description,200,249,0,0,249,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,160,1244,622,622,414,207,207,Description,200,206,0,1,207,1,0.00480769230769231,0.502403846153846,1,0.498789346246973,0.665589660743134
Eclipse,knn,cv52,balanced,192,1072,536,536,356,178,178,Description,200,178,0,0,178,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,224,874,437,437,290,145,145,Description,200,142,0,3,145,1,0.0202702702702703,0.510135135135135,1,0.494773519163763,0.662004662004662
Eclipse,knn,cv52,balanced,256,750,375,375,248,124,124,Description,200,124,0,0,124,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,288,656,328,328,218,109,109,Description,200,109,0,0,109,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,320,564,282,282,188,94,94,Description,200,94,0,0,94,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,352,466,233,233,154,77,77,Description,200,75,0,2,77,1,0.0253164556962025,0.512658227848101,1,0.493421052631579,0.66079295154185
Eclipse,knn,cv52,balanced,384,392,196,196,130,65,65,Description,200,65,0,0,65,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,416,336,168,168,112,56,56,Description,200,56,0,0,56,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,448,274,137,137,90,45,45,Description,200,44,0,1,45,1,0.0217391304347826,0.510869565217391,1,0.49438202247191,0.661654135338346
Eclipse,knn,cv52,balanced,480,240,120,120,80,40,40,Description,200,40,0,0,40,1,0,0.5,1,0.5,0.666666666666667
Eclipse,knn,cv52,balanced,512,214,107,107,70,35,35,Description,200,32,0,3,35,1,0.0789473684210526,0.539473684210526,1,0.477611940298507,0.646464646464646
Eclipse,rf,bootstrap,balanced,4,5022,2511,2511,1672,836,836,Description,200,836,0,0,836,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,8,5456,2728,2728,1818,909,909,Description,200,909,0,0,909,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,12,4970,2485,2485,1656,828,828,Description,200,828,0,0,828,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,16,4496,2248,2248,1498,749,749,Description,200,749,0,0,749,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,20,4204,2102,2102,1400,700,700,Description,200,700,0,0,700,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,24,3886,1943,1943,1294,647,647,Description,200,647,0,0,647,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,28,3654,1827,1827,1216,608,608,Description,200,608,0,0,608,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,32,3438,1719,1719,1144,572,572,Description,200,572,0,0,572,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,64,2382,1191,1191,794,397,397,Description,200,397,0,0,397,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,96,1872,936,936,624,312,312,Description,200,312,0,0,312,1,0,0.5,1,0.5,0.666666666666667
Eclipse,rf,bootstrap,balanced,128,1496,748,748,498,249,249,Description,200,249,0,0,249,1,0,0.5,1,0.5,0.666666666666667
